strike,moneyness,bid,ask,mid_price,iv_naive,iv_bid,iv_ask,delta_obs,delta_adj,micro_fraction,gamma
57000.0,1.00885,623.1,625.0,624.75,0.502968,0.509155,0.495872,0.001164,0.0,1.0,0.000186
57100.0,1.010619,577.55,581.6,581.0,0.500265,0.505076,0.493637,0.002509,0.0,1.0,0.000184
57200.0,1.012389,533.55,537.2,537.3,0.496391,0.500743,0.489573,0.002294,0.0,1.0,0.000183
57300.0,1.014159,490.55,493.3,486.85,0.486939,0.495782,0.484547,0.001758,0.0,1.0,0.000183
57400.0,1.015929,449.3,453.0,453.0,0.4868,0.490639,0.480508,0.002413,0.0,1.0,0.00018
57500.0,1.017699,412.0,416.3,416.2,0.483527,0.486766,0.477513,0.002869,0.0,1.0,0.000177
57600.0,1.019469,377.9,382.4,381.45,0.48033,0.483743,0.475098,0.00308,0.0,1.0,0.000174
57700.0,1.021239,344.45,347.0,347.0,0.475993,0.479846,0.470313,0.001797,0.0,1.0,0.000171
57800.0,1.023009,314.6,318.25,316.45,0.473041,0.477165,0.468847,0.002654,0.0,1.0,0.000166
57900.0,1.024779,286.25,290.25,283.1,0.466583,0.474257,0.466642,0.00301,0.0,1.0,0.000162
58000.0,1.026549,260.95,262.95,262.0,0.468029,0.472344,0.463612,0.001563,0.0,1.0,0.000156
58100.0,1.028319,235.65,238.35,238.55,0.466472,0.469085,0.461309,0.002199,0.0,1.0,0.000151
58200.0,1.030088,213.3,215.05,215.2,0.463659,0.466868,0.458685,0.001489,0.0,1.0,0.000145
58300.0,1.031858,193.0,194.9,194.85,0.462041,0.465078,0.457379,0.001693,0.0,1.0,0.000139
58400.0,1.033628,174.45,176.3,174.25,0.45881,0.463551,0.456156,0.001731,0.0,1.0,0.000133
58500.0,1.035398,156.7,158.0,158.0,0.458303,0.461443,0.453864,0.001283,0.0,1.0,0.000127
58600.0,1.037168,140.7,142.55,140.6,0.455313,0.459718,0.453028,0.001929,0.0,1.0,0.00012
58700.0,1.038938,126.9,128.3,128.0,0.456042,0.459016,0.452169,0.001545,0.0,1.0,0.000114
58800.0,1.040708,113.75,115.65,114.3,0.454339,0.457771,0.451822,0.002225,0.0,1.0,0.000107
58900.0,1.042478,102.65,104.2,104.5,0.456036,0.457716,0.45167,0.001928,0.0,1.0,0.000101
59000.0,1.044248,92.2,93.65,92.2,0.453416,0.457297,0.45144,0.001921,0.0,1.0,9.5e-05
59100.0,1.046018,82.5,86.05,85.25,0.45676,0.456667,0.454059,0.004998,0.0,1.0,8.9e-05
59200.0,1.047788,75.4,78.2,77.9,0.458718,0.458689,0.455426,0.004185,0.0,1.0,8.4e-05
59300.0,1.049558,67.0,70.85,69.0,0.457265,0.457665,0.456547,0.006162,0.0,1.0,7.8e-05
59400.0,1.051327,60.85,62.9,62.85,0.459085,0.459203,0.455598,0.003518,0.0,1.0,7.3e-05
59500.0,1.053097,55.45,56.75,55.05,0.456932,0.461155,0.456556,0.002383,0.0,1.0,6.8e-05
59600.0,1.054867,49.45,52.55,52.15,0.462892,0.461004,0.460222,0.00607,0.0,1.0,6.4e-05
59700.0,1.056637,44.95,46.6,45.0,0.459613,0.462854,0.459617,0.003477,0.0,1.0,5.8e-05
59800.0,1.058407,40.75,42.55,42.45,0.465042,0.464495,0.461955,0.004057,0.0,1.0,5.5e-05
